,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,BuildAge,RemodAge,GarageAge,SalePrice
193,194,160,RM,24.0,2522,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,4,3,PConc,4,3,No,1,0,1,0,970,970,GasA,5,1,SBrkr,970,739,0,1709,0,0,2,0,3,1,4,7,Maj1,0,0,Detchd,Unf,2,380,3,3,Y,0,40,0,0,0,0,0,None,None,0,5,2006,WD,Normal,2,2,2,130000
194,195,20,RL,60.0,7180,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,Av,5,390,1,0,474,864,GasA,3,1,SBrkr,864,0,0,864,0,0,1,0,3,1,3,5,Typ,0,0,Detchd,Unf,1,352,3,3,Y,0,0,0,0,0,0,0,None,None,0,5,2008,WD,Normal,36,36,19,127000
195,196,160,RL,24.0,2280,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,4,3,No,5,566,1,0,289,855,GasA,3,1,SBrkr,855,601,0,1456,0,0,2,1,3,1,3,7,Typ,1,3,Attchd,Unf,2,440,3,3,Y,87,0,0,0,0,0,0,None,None,0,7,2009,WD,Normal,33,33,33,148500
196,197,20,RL,79.0,9416,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,Hip,CompShg,CemntBd,CmentBd,Stone,205.0,5,3,PConc,5,3,No,6,1126,1,0,600,1726,GasA,5,1,SBrkr,1726,0,0,1726,1,0,2,0,3,1,5,8,Typ,1,4,Attchd,Fin,3,786,3,3,Y,171,138,0,0,266,0,0,None,None,0,9,2007,New,Partial,0,0,0,311872
197,198,75,RL,174.0,25419,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,2Story,8,4,Gable,CompShg,Stucco,Stucco,None,0.0,4,4,PConc,3,3,No,6,1036,2,184,140,1360,GasA,4,1,SBrkr,1360,1360,392,3112,1,1,2,0,4,1,4,8,Typ,1,5,Detchd,Unf,2,795,3,3,Y,0,16,552,0,0,512,5,GdPrv,None,0,3,2006,WD,Abnorml,88,16,88,235000
198,199,75,RM,92.0,5520,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,1,0,1,0,755,755,GasA,5,1,SBrkr,929,929,371,2229,0,0,1,0,5,1,3,8,Typ,0,0,None,None,0,0,0,0,Y,0,198,30,0,0,0,0,MnPrv,None,0,7,2009,WD,Abnorml,97,59,0,104000
199,200,20,RL,76.0,9591,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,262.0,4,3,PConc,5,3,Av,6,1088,1,0,625,1713,GasA,5,1,SBrkr,1713,0,0,1713,1,0,2,0,3,1,5,7,Typ,1,4,Attchd,Fin,3,856,3,3,Y,0,26,0,0,170,0,0,None,None,0,1,2009,WD,Normal,5,4,5,274900
200,201,20,RM,80.0,8546,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,No,1,0,1,0,1121,1121,GasA,5,1,SBrkr,1121,0,0,1121,0,0,2,0,2,1,3,5,Typ,0,0,Attchd,RFn,2,440,3,3,Y,132,64,0,0,0,0,0,None,None,0,3,2010,WD,Normal,7,6,7,140000
201,202,20,RL,75.0,10125,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,No,5,641,2,279,276,1196,GasA,3,1,SBrkr,1279,0,0,1279,0,1,2,0,3,1,3,6,Typ,2,2,Detchd,Unf,2,473,3,3,Y,238,83,0,0,0,0,0,MnPrv,None,0,2,2008,WD,Normal,31,31,28,171500
202,203,50,RL,50.0,7000,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,2,3,No,2,617,1,0,0,617,GasA,4,1,SBrkr,865,445,0,1310,0,0,2,0,2,1,3,6,Min1,0,0,Attchd,Unf,1,398,3,3,Y,0,0,126,0,0,0,0,None,None,0,5,2006,COD,Normal,82,56,82,112000
203,204,120,RM,0.0,4438,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,205.0,4,3,PConc,4,3,Av,6,662,1,0,186,848,GasA,5,1,SBrkr,848,0,0,848,1,0,1,0,1,1,4,3,Typ,1,4,Attchd,RFn,2,420,3,3,Y,149,0,0,0,0,0,0,None,None,0,1,2008,WD,Normal,4,4,4,149000
204,205,50,RM,50.0,3500,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,CBlock,3,3,No,2,312,1,0,408,720,GasA,3,1,SBrkr,720,564,0,1284,0,0,1,1,2,1,3,5,Typ,0,0,Detchd,Unf,1,240,3,3,Y,0,35,0,0,0,0,0,MnWw,None,0,4,2009,WD,Normal,62,59,61,110000
205,206,20,RL,99.0,11851,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,No,1,0,1,0,1424,1424,GasA,5,1,SBrkr,1442,0,0,1442,0,0,2,0,3,1,3,5,Typ,0,0,Attchd,RFn,2,500,3,3,Y,0,34,0,508,0,0,0,None,None,0,5,2009,WD,Normal,19,19,19,180500
206,207,20,RL,40.0,13673,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,3,3,No,1,0,1,0,1140,1140,GasA,3,1,SBrkr,1696,0,0,1696,0,0,1,1,3,1,3,8,Min2,1,3,Attchd,RFn,1,349,3,3,Y,0,30,0,0,0,0,0,None,None,0,3,2007,WD,Normal,45,45,45,143900
207,208,20,RL,0.0,12493,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,No,5,419,3,306,375,1100,GasA,3,1,SBrkr,1100,0,0,1100,1,0,1,0,3,1,3,6,Typ,1,1,Attchd,RFn,1,312,3,3,Y,355,0,0,0,0,0,0,GdWo,None,0,4,2008,WD,Normal,48,48,48,141000
208,209,60,RL,0.0,14364,Pave,None,IR1,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,4,3,CBlock,4,3,Gd,6,1065,1,0,92,1157,GasA,5,1,SBrkr,1180,882,0,2062,1,0,2,1,3,1,3,7,Typ,1,4,Attchd,Fin,2,454,3,3,Y,60,55,0,0,154,0,0,None,None,0,4,2007,WD,Normal,19,18,19,277000
209,210,20,RL,75.0,8250,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Hip,CompShg,HdBoard,HdBoard,Stone,260.0,3,3,CBlock,4,3,No,3,787,1,0,305,1092,GasA,5,1,SBrkr,1092,0,0,1092,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,RFn,2,504,3,4,Y,0,0,0,0,0,0,0,MnPrv,None,0,7,2008,WD,Normal,44,44,44,145000
210,211,30,RL,67.0,5604,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,CBlock,3,3,No,3,468,1,0,396,864,GasA,3,0,FuseA,864,0,0,864,1,0,1,0,2,1,3,5,Typ,0,0,None,None,0,0,0,0,Y,0,0,96,0,0,0,0,None,None,0,4,2008,WD,Normal,83,58,0,98000
211,212,20,RL,83.0,10420,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,Mn,6,36,1,0,1176,1212,GasA,5,1,SBrkr,1212,0,0,1212,0,0,2,0,3,1,4,6,Typ,0,0,Attchd,RFn,2,460,3,3,Y,100,22,0,0,0,0,0,None,None,0,3,2010,WD,Normal,1,1,1,186000
212,213,60,FV,72.0,8640,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,No,6,822,1,0,78,900,GasA,5,1,SBrkr,932,920,0,1852,1,0,2,1,3,1,4,7,Typ,1,3,Attchd,RFn,2,644,3,3,Y,168,108,0,0,0,0,0,None,None,0,7,2009,New,Partial,0,0,0,252678
213,214,20,RL,43.0,13568,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,No,5,716,1,0,274,990,GasA,5,1,SBrkr,990,0,0,990,0,1,1,0,3,1,3,5,Typ,0,0,Attchd,Unf,2,576,3,3,Y,224,0,0,0,0,0,0,None,None,0,7,2006,WD,Normal,11,11,10,156000
214,215,60,RL,0.0,10900,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,7,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,3,3,CBlock,4,3,No,6,378,1,0,311,689,GasA,5,1,SBrkr,689,703,0,1392,0,0,1,1,3,1,3,6,Typ,0,0,Attchd,Fin,1,299,3,3,Y,0,36,0,0,0,0,0,MnPrv,Shed,450,3,2010,WD,Normal,33,33,33,161750
215,216,20,RL,72.0,10011,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,64.0,3,3,CBlock,3,3,No,4,360,1,0,710,1070,GasA,3,1,SBrkr,1236,0,0,1236,0,1,1,0,2,1,4,6,Min1,1,2,Attchd,Unf,1,447,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,5,2006,WD,Normal,49,10,49,134450
216,217,20,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,266.0,4,3,PConc,4,3,Mn,6,946,1,0,490,1436,GasA,5,1,SBrkr,1436,0,0,1436,1,0,2,0,3,1,4,8,Typ,0,0,Attchd,Unf,2,484,3,3,Y,139,98,0,0,0,0,0,None,None,0,4,2008,WD,Normal,4,4,4,210000
217,218,70,RM,57.0,9906,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,No,1,0,1,0,686,686,GasA,2,0,SBrkr,810,518,0,1328,0,0,1,0,3,1,3,8,Typ,0,0,Detchd,Unf,1,210,3,3,Y,0,172,60,0,0,0,0,None,None,0,9,2006,WD,Family,81,56,66,107000
218,219,50,RL,0.0,15660,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,Gable,CompShg,VinylSd,VinylSd,BrkFace,312.0,4,4,CBlock,3,3,No,4,341,1,0,457,798,GasA,5,1,SBrkr,1137,817,0,1954,0,1,1,1,3,1,4,8,Typ,2,3,Attchd,Unf,2,431,3,3,Y,0,119,150,0,0,0,0,None,None,0,5,2008,WD,Normal,69,2,69,311500
219,220,120,RL,43.0,3010,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,4,3,PConc,4,3,Av,6,16,1,0,1232,1248,GasA,5,1,SBrkr,1248,0,0,1248,0,0,2,0,2,1,4,5,Typ,0,0,Attchd,Fin,2,438,3,3,Y,108,0,0,0,0,0,0,None,None,0,3,2006,New,Partial,1,0,1,167240
220,221,20,RL,73.0,8990,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,Mn,1,0,1,0,1498,1498,GasA,5,1,SBrkr,1498,0,0,1498,0,0,2,0,2,1,4,5,Typ,0,0,Attchd,RFn,2,675,3,3,Y,351,33,0,0,0,0,0,None,None,0,4,2006,New,Partial,0,0,0,204900
221,222,60,RL,0.0,8068,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,No,1,0,1,0,1010,1010,GasA,5,1,SBrkr,1010,1257,0,2267,0,0,2,1,4,1,4,8,Typ,1,3,BuiltIn,RFn,2,390,3,3,Y,120,46,0,0,0,0,0,None,None,0,12,2009,ConLI,Normal,7,7,7,200000
222,223,60,RL,85.0,11475,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,No,5,550,1,0,163,713,GasA,3,1,SBrkr,811,741,0,1552,1,0,2,1,3,1,3,6,Typ,1,3,Attchd,RFn,2,434,3,3,Y,209,208,0,0,0,0,0,MnPrv,None,0,2,2006,WD,Normal,31,31,31,179900
223,224,20,RL,70.0,10500,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,5,524,2,180,160,864,GasA,4,1,SBrkr,864,0,0,864,0,0,1,0,2,1,3,4,Typ,0,0,Detchd,Unf,2,576,3,3,Y,216,0,0,0,0,0,0,None,None,0,3,2009,WD,Abnorml,38,38,20,97000
224,225,20,RL,103.0,13472,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,922.0,5,3,PConc,5,3,Gd,6,56,1,0,2336,2392,GasA,5,1,SBrkr,2392,0,0,2392,0,0,2,0,3,1,5,8,Typ,1,5,Attchd,Fin,3,968,3,3,Y,248,105,0,0,0,0,0,None,None,0,6,2009,WD,Normal,6,6,6,386250
225,226,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,142.0,3,3,CBlock,3,3,No,1,0,1,0,630,630,GasA,3,1,SBrkr,630,672,0,1302,0,0,2,1,3,1,3,6,Typ,0,0,Detchd,Unf,1,280,3,3,Y,0,0,0,0,0,0,0,None,None,0,5,2009,COD,Abnorml,38,38,18,112000
226,227,60,RL,82.0,9950,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,290.0,4,3,PConc,4,3,No,6,565,1,0,638,1203,GasA,5,1,SBrkr,1214,1306,0,2520,0,0,2,1,4,1,4,9,Typ,1,3,Attchd,RFn,3,721,3,3,Y,224,114,0,0,0,0,0,None,None,0,6,2007,WD,Abnorml,12,12,12,290000
227,228,160,RM,21.0,1869,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,127.0,3,3,CBlock,3,3,No,3,321,1,0,162,483,GasA,3,1,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,Typ,0,0,Detchd,Unf,1,280,3,3,Y,0,0,0,0,0,0,0,None,None,0,9,2008,WD,Normal,38,38,21,106000
228,229,20,RL,70.0,8521,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,5,842,1,0,70,912,GasA,3,1,SBrkr,912,0,0,912,0,0,1,0,3,1,3,5,Typ,1,2,Detchd,Unf,1,336,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,5,2010,WD,Normal,43,43,36,125000
229,230,120,RL,43.0,3182,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,4,3,PConc,4,3,Av,6,16,1,0,1357,1373,GasA,5,1,SBrkr,1555,0,0,1555,0,0,2,0,2,1,4,7,Typ,1,3,Attchd,Fin,2,430,3,3,Y,143,20,0,0,0,0,0,None,None,0,5,2009,WD,Normal,4,3,4,192500
230,231,20,RL,73.0,8760,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,220.0,3,3,CBlock,3,3,No,1,0,1,0,1194,1194,GasA,3,1,SBrkr,1194,0,0,1194,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,RFn,1,312,3,3,Y,0,0,120,0,0,0,0,None,None,0,4,2010,WD,Normal,51,51,51,148000
231,232,60,RL,174.0,15138,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,506.0,4,3,PConc,4,3,No,6,689,1,0,773,1462,GasA,5,1,SBrkr,1490,1304,0,2794,1,0,2,1,4,1,5,9,Typ,1,3,Attchd,Fin,3,810,3,3,Y,0,146,202,0,0,0,0,None,None,0,7,2009,WD,Normal,14,13,14,403000
232,233,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,297.0,3,3,CBlock,3,3,No,1,0,1,0,483,483,GasA,3,1,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,Typ,1,1,Attchd,Unf,1,288,3,3,Y,0,0,0,0,0,0,0,None,None,0,6,2006,WD,Normal,34,34,34,94500
233,234,20,RL,75.0,10650,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,4,Av,2,182,5,712,0,894,GasA,3,1,SBrkr,894,0,0,894,1,0,1,0,3,1,3,5,Typ,0,0,Attchd,Unf,1,308,3,3,Y,365,0,0,0,0,0,0,MnPrv,None,0,2,2010,WD,Normal,34,34,34,128200
234,235,60,RL,0.0,7851,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,No,6,625,1,0,235,860,GasA,5,1,SBrkr,860,1100,0,1960,1,0,2,1,4,1,4,8,Typ,2,3,BuiltIn,Fin,2,440,3,3,Y,288,48,0,0,0,0,0,None,None,0,5,2010,WD,Normal,8,8,8,216500
235,236,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,6,3,Gable,CompShg,HdBoard,HdBoard,BrkFace,604.0,3,3,CBlock,3,3,No,5,358,1,0,125,483,GasA,3,1,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,Typ,0,0,Detchd,Unf,1,264,3,3,Y,0,0,0,0,0,0,0,None,None,0,8,2008,WD,Normal,37,37,37,89500
236,237,20,RL,65.0,8773,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,98.0,4,3,PConc,4,3,Av,6,24,1,0,1390,1414,GasA,5,1,SBrkr,1414,0,0,1414,0,0,2,0,3,1,4,6,Typ,0,0,Attchd,RFn,2,494,3,3,Y,132,105,0,0,0,0,0,None,None,0,5,2010,WD,Normal,6,6,6,185500
237,238,60,RL,0.0,9453,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,7,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,No,4,402,1,0,594,996,GasA,5,1,SBrkr,1014,730,0,1744,0,0,2,1,3,1,4,7,Typ,0,0,Attchd,RFn,2,457,3,3,Y,370,70,0,238,0,0,0,None,None,0,2,2010,WD,Normal,17,7,17,194500
238,239,20,RL,93.0,12030,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,254.0,5,3,PConc,5,3,No,1,0,1,0,1694,1694,GasA,5,1,SBrkr,1694,0,0,1694,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,Fin,3,818,3,3,Y,168,228,0,0,0,0,0,None,None,0,12,2007,New,Partial,0,0,0,318000
239,240,50,RL,52.0,8741,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,2,No,2,94,1,0,641,735,GasA,3,1,FuseA,798,689,0,1487,0,0,1,1,3,1,3,7,Typ,1,4,Detchd,Unf,1,220,3,3,Y,0,140,0,0,0,0,0,MnPrv,None,0,4,2010,WD,Normal,65,60,61,113000
240,241,20,FV,75.0,9000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,36.0,4,3,PConc,4,3,Av,6,1078,1,0,488,1566,GasA,5,1,SBrkr,1566,0,0,1566,1,0,2,0,3,1,4,7,Typ,0,0,Attchd,RFn,2,750,3,3,Y,144,168,0,0,0,0,0,None,None,0,4,2010,WD,Normal,2,2,2,262500
241,242,30,RM,40.0,3880,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,9,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,No,5,329,1,0,357,686,GasA,4,1,SBrkr,866,0,0,866,0,0,1,0,2,1,4,4,Typ,0,0,None,None,0,0,0,0,Y,58,42,0,0,0,0,0,None,None,0,8,2007,WD,Normal,62,10,0,110500
242,243,50,RM,63.0,5000,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,No,1,0,1,0,540,540,GasA,4,0,FuseA,889,551,0,1440,0,0,1,0,3,1,3,6,Typ,0,0,Attchd,Unf,1,352,2,3,Y,0,0,77,0,0,0,0,None,None,0,4,2006,WD,Normal,106,56,66,79000
243,244,160,RL,75.0,10762,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,No,1,0,1,0,626,626,GasA,3,1,SBrkr,626,591,0,1217,0,0,1,1,3,1,3,6,Typ,1,3,Attchd,RFn,1,288,3,3,Y,0,28,0,0,0,0,0,None,None,0,4,2009,WD,Normal,29,29,29,120000
244,245,60,RL,0.0,8880,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,No,6,695,1,0,253,948,GasA,5,1,SBrkr,1222,888,0,2110,1,0,2,1,3,1,4,8,Typ,2,2,Attchd,RFn,2,463,3,3,Y,0,130,0,0,0,0,0,None,None,0,5,2010,WD,Normal,16,8,16,205000
245,246,20,RL,80.0,10400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,102.0,3,3,CBlock,4,3,Av,6,929,1,0,916,1845,GasA,4,1,SBrkr,1872,0,0,1872,0,1,2,0,3,1,3,6,Typ,1,3,Attchd,Fin,2,604,3,3,Y,197,39,0,0,0,0,0,None,None,0,6,2006,WD,Normal,18,18,18,241500
246,247,190,RM,69.0,9142,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,6,8,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,2,Stone,2,3,No,1,0,1,0,1020,1020,GasA,4,0,FuseP,908,1020,0,1928,0,0,2,0,4,2,2,9,Typ,0,0,Detchd,Unf,1,440,1,1,Y,0,60,112,0,0,0,0,None,None,0,4,2006,WD,Normal,96,56,96,137000
247,248,20,RL,75.0,11310,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,Wd Sdng,BrkFace,None,0.0,3,3,CBlock,3,3,No,1,0,1,0,1367,1367,GasA,5,1,SBrkr,1375,0,0,1375,0,0,1,0,2,1,3,5,Typ,1,3,Attchd,Unf,2,451,3,3,Y,0,30,0,0,0,0,0,None,None,0,6,2006,WD,Normal,52,52,52,140000
248,249,60,RL,72.0,11317,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,101.0,4,3,PConc,4,3,No,1,0,1,0,840,840,GasA,5,1,SBrkr,840,828,0,1668,0,0,2,1,3,1,4,8,Typ,0,0,Attchd,RFn,2,500,3,3,Y,144,68,0,0,0,0,0,None,None,0,9,2007,WD,Normal,4,4,4,180000
